MCT_NM,OP_YMD,ADDR,pk
다락방소주방,20220801,제주 제주시 한림읍 한림리 1314-69번지,1303
다람쥐식탁,20160414,제주 제주시 한림읍 동명리 1580-7번지 1층,1304
다람쥐와도토리,20180115,제주 제주시 노형동 2529-9번지 1층,1305
다랑시,20090312,제주 제주시 일도이동 1032-2번지,1306
다래,20061115,제주 서귀포시 남원읍 위미리 1659-2번지,1307
다래가든,20210514,제주 제주시 오등동 806-1번지 1층 오등동,1308
다래향,20101125,제주 제주시 조천읍 함덕리 3132-1번지,1309
다래향 2호점,20150206,제주 제주시 구좌읍 세화리 1521-17번지 4층,1310
다려도횟집,20210409,제주 제주시 조천읍 함덕리 1002-101번지 1층,1311
다름,20230524,제주 제주시 해안동 32-7번지 106동 2층,1312
다린,20190502,제주 서귀포시 법환동 218-5번지 1층,1313
다맛,20121226,제주 제주시 화북일동 2152번지 1층,1314
다모인식당,20070423,제주 제주시 노형동 937-9번지,1315
다미야,20081002,제주 제주시 노형동 929-8번지,1316
다미야 서귀포점,20160812,제주 서귀포시 서홍동 377-11번지,1317
다미진,20200121,제주 서귀포시 표선면 표선리 40-51번지 1층,1318
다미회,20120307,제주 제주시 이도이동 1176-38번지 다미회,1319
다복식당,20070725,제주 제주시 조천읍 함덕리 72-80번지,1320
다빈장,20220630,제주 제주시 애월읍 고내리 32-3번지 1층,1321
다섯번째이야기,20220615,제주 제주시 영평동 2676-1번지 1층,1322
다섯시갈비,20170712,제주 제주시 이도이동 408-1번지,1323
다소니,20160816,제주 서귀포시 중문동 2023-9번지,1324
다소니전집,20231018,제주 제주시 이도일동 1549-7번지 1층,1325
다시또오리,20180420,제주 제주시 일도이동 72-6번지,1326
다시버시,20050304,제주 제주시 구좌읍 세화리 1500-3번지,1327
다시정식당,20170526,제주 제주시 애월읍 곽지리 1622-47번지 다시정식당,1328
다쏘니,20120523,제주 제주시 용담이동 612-3번지,1329
다오라민포,20210526,제주 제주시 일도이동 110-12번지,1330
다온까페,20200113,제주 서귀포시 서귀동 257-13번지 2층,1331
다올국수,20211207,제주 제주시 삼도일동 519-10번지,1332
다올김밥분식,20130115,제주 제주시 연동 1953-4번지,1333
다올레,20180820,제주 제주시 연동 283-41번지 1층,1334
다올밥상,20190319,제주 제주시 화북일동 2152번지 1층,1335
다올정,20201230,제주 제주시 이도이동 325번지 1층,1336
다올키친,20221018,제주 서귀포시 대정읍 구억리 1060번지 107호,1337
다옴,20180730,제주 제주시 이도이동 1068-12번지,1338
다운타우너 제주애월,20210108,제주 제주시 애월읍 애월리 2527-3번지 제1동,1339
다원우,20150115,제주 제주시 외도일동 642-2번지 2층,1340
다윤이네,20200731,제주 제주시 용담일동 2814-13번지 1층,1341
다은식당,20171128,제주 제주시 이도이동 1081-19번지,1342
다이아,20200416,제주 제주시 연동 1485번지,1343
다인가든,20110729,제주 제주시 애월읍 고내리 79-8번지,1344
다정이네,20141030,제주 제주시 조천읍 와흘리 1106-2번지 1층,1345
다정이네,20200629,제주 서귀포시 서귀동 255-7번지 서귀동,1346
다정이네김밥서귀포신시가지점,20210317,제주 서귀포시 강정동 893-1번지 1층,1347
다정하다,20200528,제주 서귀포시 동홍동 1565번지 JI동 1층,1348
다정한식탁,20170713,제주 서귀포시 중문동 1430-2번지 2층,1349
다찜,20160824,제주 서귀포시 성산읍 고성리 1189-12번지 1층,1350
다채움,20210906,제주 제주시 아라이동 35-9번지 지하1층,1351
다채움,20230823,제주 제주시 아라이동 35-9번지 지하층,1352
다트바 불스,20130906,제주 제주시 이도이동 1773-6번지,1353
다판다&아이스크림스토리제주연동점,20231205,제주 제주시 연동 262-2번지 1층,1354
다희네민물장어,20150810,제주 제주시 외도일동 537-4번지 1층,1355
닥그네할망,20220801,제주 제주시 도남동 87-14번지 1층,1356
단골 52번지,20211217,제주 제주시 구좌읍 월정리 501-1번지 1층,1357
단골손님,20230726,제주 서귀포시 서귀동 101-4번지 1층,1358
단당류,20220513,제주 제주시 한경면 저지리 3012-1번지 (단당류),1359
단또,20160927,제주 제주시 이도이동 1186-4번지,1360
단백,20210706,제주 서귀포시 성산읍 성산리 164-11번지 1층,1361
단비식당,20031210,제주 서귀포시 안덕면 사계리 132-4번지,1362
단산칼국수,20230113,제주 서귀포시 대정읍 안성리 1560-7번지 1층,1363
단소,20200218,제주 제주시 애월읍 애월리 1747-1번지 1층,1364
단수이카스테라인제주해안점,20201015,제주 제주시 노형동 2593-1번지 1층,1365
단초제주,20230105,제주 제주시 연동 256-8번지 1층,1366
단풍나무,20230512,제주 제주시 애월읍 유수암리 1061-11번지 2동 1층,1367
달고기네은갈치,20201221,제주 제주시 내도동 452-14번지 1층,1368
달고래키친,20230112,제주 제주시 애월읍 하귀2리 2837-7번지 1층,1369
달그락식탁,20180228,제주 제주시 아라일동 6134-4번지 1층,1370
달그리안,20211027,제주 제주시 우도면 연평리 317-4번지 (1-2층) 디동,1371
달동네수제숨두부,20210929,제주 서귀포시 색달동 1868-3번지 1층,1372
달떡볶이 신제주점,20210225,제주 제주시 연동 251-8번지 뉴제원아파트 106호,1373
달떡볶이구제주점,20220425,제주 제주시 이도일동 1258-15번지,1374
달떡볶이외도점,20220608,제주 제주시 외도이동 234-12번지 1층,1375
달래네,20210513,제주 제주시 한경면 고산리 3611-2번지,1376
달리는커피 제주노형점,20220502,제주 제주시 노형동 3802-2번지 1층,1377
달림식당,20140515,제주 서귀포시 성산읍 수산리 1086-5번지,1378
달마,20060214,제주 제주시 일도일동 1220-2번지,1379
달마야해물탕북촌,20170616,제주 제주시 조천읍 북촌리 1363-1번지 1층,1380
달맞이,20011203,제주 제주시 연동 1번지,1381
달비치,20150708,제주 제주시 구좌읍 월정리 13번지,1382
달빛사랑채,20121113,제주 제주시 연동 253-4번지,1383
달빛에 구운고등어제주점,20180202,제주 제주시 이도이동 1986-8번지,1384
달빛여각,20230403,제주 서귀포시 서귀동 270-14번지 1층,1385
달빛제주,20180405,제주 제주시 애월읍 하귀2리 2597-1번지 애월읍,1386
달빛주막,20140729,제주 제주시 노형동 2519-24번지 효성빌라,1387
달사막,20161102,제주 제주시 조천읍 함덕리 272-28번지 1층,1388
달소금식탁,20211108,제주 제주시 애월읍 하귀1리 1604-1번지 1층,1389
달이뜨는식탁,20180628,제주 제주시 구좌읍 월정리 885번지 1층,1390
달인회닭강정,20150212,제주 서귀포시 서귀동 271-38번지,1391
달자카페,20141031,제주 제주시 애월읍 구엄리 545번지,1392
달주택,20171013,제주 제주시 노형동 942-6번지,1393
달쥬,20190628,제주 서귀포시 강정동 172-5번지 1층,1394
달치즈,20220706,제주 제주시 구좌읍 세화리 1476-12번지 1층,1395
달콤다락,20160330,제주 제주시 일도일동 1102-3번지 1층,1396
달콤아재,20180404,제주 제주시 우도면 연평리 1290-1번지 1층,1397
달콤왕가탕후루 삼화점,20230807,제주 제주시 도련일동 1937-5번지 1층,1398
달콤왕가탕후루 서귀포 일호광장점,20230807,제주 서귀포시 서귀동 284-3번지 서귀포 1호 층층,1399
달콤왕가탕후루 연동점,20230403,제주 제주시 연동 1496-3번지,1400
달콤왕가탕후루시청점,20230503,제주 제주시 이도이동 1185-1번지 1층,1401
달콤한닭강정,20171222,제주 제주시 이도이동 1058-12번지 1층,1402
달콤한닭강정연동점,20130709,제주 제주시 연동 1497-3번지,1403
달팽이&버닝치즈,20200818,제주 서귀포시 안덕면 창천리 153-56번지,1404
달페이지,20200703,제주 서귀포시 색달동 2290-2번지 색달동,1405
닭발굽는청년제주지점,20220324,제주 서귀포시 안덕면 서광리 1418-1번지 1층 106호,1406
담다,20190614,제주 제주시 한림읍 협재리 1750-1번지 1층,1407
담또와,20210804,제주 제주시 구좌읍 월정리 593번지 1호,1408
담백,20200710,제주 제주시 구좌읍 행원리 1518-2번지 102호,1409
담백,20231031,제주 제주시 구좌읍 행원리 1518-2번지 1층 102호,1410
담뽀뽀,20180405,제주 제주시 아라일동 6054-8번지 1층,1411
담삭,20230825,제주 제주시 조천읍 함덕리 225-3번지 4층,1412
담소,20170519,제주 제주시 노형동 904-9번지 노형동,1413
담소식당,20230330,제주 제주시 추자면 대서리 140-6번지 2층,1414
담아래,20160307,제주 제주시 연동 1318-3번지 1층 101호,1415
담앙족욕카페,20180320,제주 제주시 한경면 저지리 2848-2번지,1416
담을솥,20230802,제주 제주시 조천읍 대흘리 1778-1번지 1층,1417
담이자카야,20161122,제주 제주시 연동 258번지 연동뜨레모아아파트 1층 107호 108호,1418
당근과해녀,20210705,제주 제주시 구좌읍 평대리 2024-3번지 1층,1419
당당,20190220,제주 제주시 애월읍 신엄리 1212-1번지,1420
당일바리,20170808,제주 서귀포시 안덕면 사계리 2147번지,1421
당일바리강정호,20210311,제주 서귀포시 강정동 4964번지 1층,1422
당케올레국수,20200225,제주 서귀포시 표선면 표선리 40-36번지 1층,1423
당케올레국수,20230901,제주 서귀포시 표선면 표선리 40-36번지 1층,1424
당포로나인,20210120,제주 서귀포시 표선면 표선리 43-1번지,1425
당포로나인돈카츠,20220516,제주 서귀포시 표선면 표선리 43-1번지 1층,1426
당포회센타,20191008,제주 서귀포시 표선면 표선리 45-5번지 1층,1427
대가정육식당,20231122,제주 제주시 연동 291-122번지 1층,1428
대게 맛있는 옥돔,20220225,제주 제주시 도련일동 1789-2번지 미듬하나로아파트 다동 1층 106호,1429
대게마을,20160817,제주 제주시 도두이동 706-9번지 제주시서해안로 350동 1호,1430
대게와킹크랩돌꼬망쭌포차,20200213,제주 제주시 이도이동 1069-6번지,1431
대관령,20080204,제주 제주시 연동 273-10번지,1432
대관원,20150602,제주 제주시 연동 312-54번지,1433
대광,20200624,제주 제주시 이도일동 1704-12번지,1434
대구10미미성복어제주직영점,20140411,제주 제주시 이도이동 2037-1번지,1435
대구반야월막창,20150807,제주 제주시 도남동 909-1번지,1436
대구불노리왕막창아라점,20130219,제주 제주시 아라일동 368-80번지,1437
대굴대굴굴구이,20171016,제주 제주시 이도이동 1078-3번지,1438
대굴대굴도두점,20220824,제주 제주시 도두일동 2618-11번지 2층,1439
대굴대굴삼화점,20201014,제주 제주시 도련이동 566-3번지 1층,1440
대굴대굴식당,20131018,제주 제주시 연동 2327-7번지 101호,1441
대궁갈비,19961030,제주 제주시 건입동 1037번지,1442
대기야놀자,20130226,제주 제주시 봉개동 1943-2번지,1443
대기정,20050714,제주 서귀포시 대포동 1787번지,1444
대나무집,20110502,제주 제주시 노형동 2363번지,1445
대단한탕후루 노형1호점,20230801,제주 제주시 노형동 732번지 부영1차아파트 1층 105호,1446
대단한탕후루 삼화점,20230731,제주 제주시 화북일동 1023-5번지 1층,1447
대단한탕후루 아라점,20230801,제주 제주시 아라일동 6094-3번지 1층,1448
대담,20220829,제주 제주시 애월읍 하귀2리 1775-1번지,1449
대도식당,20181228,제주 서귀포시 서귀동 587-42번지 1층,1450
대도식당남원점,20230904,제주 서귀포시 남원읍 남원리 180-5번지 1층,1451
대도식당연동점,20160912,제주 제주시 연동 303-7번지,1452
대독장신서귀포점,20191204,제주 서귀포시 강정동 166-10번지 2층,1453
대독장제주본점,20190408,제주 제주시 오라이동 3109번지 1층,1454
대독장화북점,20190904,제주 제주시 화북일동 4700-1번지 1층,1455
대돈앤엘리팝,20161216,제주 제주시 건입동 1399-1번지,1456
대돈앤엘리팝,20211227,제주 제주시 건입동 1399-1번지,1457
대동강초계탕,20201204,제주 서귀포시 표선면 세화리 254-6번지 1층,1458
대들보,20210209,제주 서귀포시 법환동 161-14번지 1층,1459
대란갈비,20140915,제주 제주시 도남동 915-28번지,1460
대마족발,20220517,제주 제주시 연동 281-9번지 1층,1461
대마족발이도점,20230327,제주 제주시 이도이동 1955-2번지,1462
대만복집,20221207,제주 제주시 외도일동 413-6번지,1463
대명정육식당,20191007,제주 제주시 노형동 2530-3번지 1층,1464
대명한우갈비살,20231101,제주 제주시 이도이동 1062-15번지,1465
대문집,20120629,제주 제주시 한림읍 옹포리 603번지 대문집,1466
대물식당,20170320,제주 제주시 한경면 고산리 3593-8번지 1층,1467
대박,20031222,제주 제주시 연동 303-2번지,1468
대박양곱창,20211105,제주 서귀포시 강정동 173-2번지,1469
대박왕갈비,20170822,제주 제주시 일도이동 325번지 1층,1470
대복해장국,20111214,제주 제주시 구좌읍 김녕리 1496-1번지 대복해장국,1471
대봉,20220530,제주 제주시 외도일동 405-6번지 외도일동,1472
대부식당,20070905,제주 제주시 화북일동 2171번지,1473
대성아귀찜,20160212,제주 제주시 조천읍 함덕리 3219-1번지,1474
대성아귀찜신제주점,20160727,제주 제주시 노형동 945-8번지,1475
대소사,20231117,제주 제주시 연동 1454번지 2층 218호,1476
대손가,20221007,제주 제주시 노형동 3785-1번지 1층 103호,1477
대손관제주청사점,20220704,제주 제주시 도남동 663-11번지 1층,1478
대수굴식당,20170425,제주 제주시 구좌읍 평대리 2022-3번지 1층,1479
대아갈비,20030312,제주 제주시 연동 261-43번지 1층,1480
대양회초밥,20000314,제주 서귀포시 표선면 표선리 40-37번지,1481
대어호,20170420,제주 제주시 연동 253-46번지 1층,1482
대연정,20140425,제주 제주시 외도일동 474-7번지,1483
대영수산직영회센타,20191001,제주 제주시 구좌읍 세화리 1517-4번지 제1동 1층,1484
대오,20161116,제주 제주시 조천읍 와흘리 127-1번지,1485
대왕해물짬뽕라면,20191021,제주 제주시 구좌읍 월정리 554번지,1486
대우정,20081103,제주 제주시 삼도일동 569-27번지,1487
대우정식당,20180823,제주 서귀포시 법환동 1552-2번지 1층,1488
대원가,20110328,제주 제주시 도남동 62-1번지 재영샤르빌 101호,1489
대원오메기떡,20151224,제주 제주시 이도일동 1252-1번지 1층,1490
대유,20181121,제주 제주시 한림읍 한림리 1329-1번지 1층,1491
대유가든,20180110,제주 서귀포시 남원읍 위미리 4158-2번지 1층,1492
대윤흑돼지,20161122,제주 서귀포시 서귀동 306-4번지,1493
대일,19941107,제주 제주시 이도이동 1766-8번지,1494
대자연가든,20171019,제주 제주시 조천읍 함덕리 4152번지 조천읍,1495
대정고을식당,20070222,제주 서귀포시 대정읍 인성리 251-1번지,1496
대정골,20150323,제주 제주시 용담일동 232-15번지 1층,1497
대정몽생이,20150128,제주 제주시 삼도일동 517-12번지,1498
대정숯불갈비,20231027,제주 서귀포시 대정읍 하모리 1089-44번지,1499
대정쌍둥이식당,20220905,제주 서귀포시 대정읍 하모리 625-3번지 1층,1500
대중적한우,20191224,제주 제주시 일도이동 62-4번지 1층,1501
대진횟집,20020916,제주 제주시 건입동 1435-1번지,1502
대춘해장국,20160922,제주 제주시 도남동 380-2번지 1층,1503
대춘해장국노형점,20180206,제주 제주시 노형동 908-3번지 1층,1504
대춘해장국본점,20200504,제주 제주시 이도이동 1176-34번지 1층,1505
대패고기집,20180703,제주 서귀포시 동홍동 104-8번지 1층,1506
대패도,20200120,제주 제주시 아라일동 6140-16번지 1층,1507
대패랑 도남점,20171228,제주 제주시 도남동 66-4번지,1508
대평리마을회명물식당,20170405,제주 서귀포시 안덕면 감산리 982-2번지,1509
대평밥상,20180515,제주 서귀포시 안덕면 창천리 788-8번지,1510
대평흑돼지,20210608,제주 서귀포시 안덕면 창천리 844-14번지 1층,1511
대포동산횟집,19960627,제주 서귀포시 대포동 2181번지,1512
대포면옥,20210629,제주 서귀포시 대포동 741-1번지,1513
대포어촌횟집,20180306,제주 서귀포시 대포동 2536번지 1층,1514
대포칼제비,20190313,제주 서귀포시 대포동 747번지 1층,1515
대포해송,20140929,제주 서귀포시 대포동 2356-1번지,1516
대포횟집,19950522,제주 서귀포시 대포동 2184번지,1517
대풍미락횟집함덕본점,19990602,제주 제주시 조천읍 함덕리 1028번지 대풍미락,1518
대풍옥,20130624,제주 서귀포시 서귀동 332-3번지,1519
대풍해장국,20200424,제주 제주시 도련이동 515-1번지 1층,1520
대학로고전,20070622,제주 제주시 이도이동 1185-3번지,1521
대학로참,20120229,제주 제주시 이도이동 1766-13번지,1522
대학로참닭갈비노형점,20170322,제주 제주시 노형동 938-9번지,1523
대학로황가네,20120710,제주 제주시 이도이동 1181-9번지 대학로황가네,1524
대한민육,20190830,제주 서귀포시 서귀동 326-27번지 1층,1525
대한식당 신시가지점,20200611,제주 제주시 연동 1525번지 1층,1526
대한식당 일도점,20190830,제주 제주시 일도이동 377-22번지,1527
대한식당앤오태식해바라기치킨아라점,20210812,제주 제주시 아라일동 6140-16번지 1층,1528
대한축산정육식당,20191004,제주 제주시 도남동 922-31번지 1층,1529
대향 연탄구이,20210507,제주 서귀포시 서귀동 476-4번지,1530
대향2호점,20231108,제주 서귀포시 서귀동 495번지,1531
대화,19980514,제주 제주시 연동 283-48번지,1532
대화해장국,20200303,제주 서귀포시 안덕면 사계리 3587번지 1층,1533
대흘부엌,20230221,제주 제주시 조천읍 대흘리 1611-1번지 1층,1534
댄싱포크,20210702,제주 서귀포시 안덕면 사계리 2812-1번지,1535
더 머스크,20200123,제주 서귀포시 서귀동 511-1번지 1층,1536
더 스테이블(The STABLE),20220516,제주 제주시 아라일동 6108-8번지 1층,1537
더 전복,20190704,제주 제주시 도두일동 2616번지 1층,1538
더 한근,20201125,제주 제주시 노형동 1048-4번지 1층,1539
더 힐링타임 족욕카페,20180912,제주 제주시 용담삼동 515번지 1층,1540
더건강한빵,20181119,제주 서귀포시 중문동 2082번지 1층,1541
더끌림카페,20211129,제주 서귀포시 서귀동 202-7번지 2층,1542
더노벰버라운지(제주인제점),20220511,제주 제주시 일도이동 369-25번지 2층,1543
더담,20231130,제주 제주시 노형동 1275-10번지 1층,1544
더루케테호텔구내식당,20170215,제주 서귀포시 서귀동 698-4번지 지하1층,1545
더리트리브,20210608,제주 서귀포시 안덕면 화순리 241번지,1546
더벤티 서귀포올레시장점,20210304,제주 서귀포시 서귀동 256-19번지,1547
더벤티 신서귀포점,20190724,제주 서귀포시 서호동 1477-3번지 1층,1548
더벤티 제주대학교점,20220708,제주 제주시 아라일동 1번지 제주대학교 3층,1549
더벤티 제주세화점,20230629,제주 제주시 구좌읍 세화리 1419-10번지 1층,1550
더벤티 제주외도점,20220829,제주 제주시 외도일동 445-1번지 1층,1551
더벤티 제주일도점,20210524,제주 제주시 일도이동 361-17번지 1층,1552
더벤티 해비치리조트점,20211027,제주 서귀포시 표선면 표선리 40-41번지 1층,1553
더벤티법환포구점,20220803,제주 서귀포시 법환동 161-4번지,1554
더벤티서귀포신시가지점,20231116,제주 서귀포시 서호동 1477-3번지 1층,1555
더벤티서홍점,20200626,제주 서귀포시 서홍동 361-5번지 1층,1556
더벤티서홍점,20230314,제주 서귀포시 서홍동 361-5번지 1층,1557
더벤티원노형점,20220829,제주 제주시 노형동 940-7번지 송우수자인아파트 상가동 105호,1558
더벤티제주노형점,20201110,제주 제주시 노형동 1281-8번지 1층,1559
더벤티제주삼화점,20210329,제주 제주시 도련일동 1938-3번지 104호,1560
더벤티제주아라점,20220630,제주 제주시 아라일동 6102번지 1층,1561
더벤티제주용담점,20200702,제주 제주시 용담삼동 586-29번지 제1동 1층,1562
더벤티커피고성교차로점,20220802,제주 서귀포시 성산읍 고성리 1100-13번지 102호,1563
더벤티한라대점,20220712,제주 제주시 노형동 3813-10번지 1층,1564
더봉반,20230601,제주 제주시 애월읍 유수암리 1206번지,1565
더봉이칼국수전문점,20110208,제주 서귀포시 표선면 표선리 1466-2번지 2동 1층,1566
더부즈 제주,20151110,제주 제주시 노형동 3782-1번지 1층,1567
더블에스,20221107,제주 제주시 연동 283-46번지 지하층,1568
더블유,20211224,제주 서귀포시 강정동 172-5번지,1569
더블유에이,20230427,제주 제주시 연동 1490-14번지 1층,1570
더비치크랩,20200608,제주 서귀포시 안덕면 사계리 2071-1번지 2층,1571
더비치크랩 제주공항점,20220922,제주 제주시 용담일동 432번지,1572
더송(THE SONG)그노래,20210330,제주 제주시 한림읍 협재리 1689-1번지 지하1층,1573
더스카이,20130531,제주 제주시 건입동 1397-1번지 6층,1574
더스푼,20200720,제주 제주시 아라이동 3014-5번지 1층,1575
더슬로우,20220628,제주 제주시 구좌읍 월정리 650번지 2층,1576
더시그니처,20190807,제주 제주시 연동 273-1번지 2층,1577
더시크릿,20140221,제주 제주시 노형동 711-3번지 301호,1578
더애월김치찌개전문점,20180822,제주 제주시 애월읍 하가리 1461-1번지 1층,1579
더애월김치찌개전문점 저지점,20210616,제주 제주시 한경면 저지리 2120-14번지,1580
더오젠,20230712,제주 제주시 아라일동 2605-8번지 1층,1581
더웨이팅,20210223,제주 서귀포시 표선면 표선리 1470번지 다동,1582
더이칠하나,20210608,제주 서귀포시 하예동 140-1번지 1층,1583
더조은치킨코리아점,20180906,제주 서귀포시 동홍동 430-40번지 1층,1584
더치앤빈노형점,20220215,제주 제주시 노형동 3786-6번지 1층,1585
더카이로스,20160509,제주 제주시 애월읍 장전리 49-17번지 1층,1586
더컨테이너(THE CONTAINER),20230405,제주 서귀포시 남원읍 남원리 2406-3번지 1층,1587
더클리프 (주)씨앤모어,20180205,제주 서귀포시 색달동 2950-17번지 색달동.퍼씨픽랜드,1588
더키친 글라,20221101,제주 제주시 연동 296-2번지 1층,1589
더통큰집,20130320,제주 제주시 노형동 1279-1번지,1590
더팔당제주,20210610,제주 제주시 연동 273-34번지,1591
더플레이스 제주신화월드점,20171221,제주 서귀포시 안덕면 서광리 산 24번지,1592
더하노이,20220418,제주 서귀포시 대정읍 보성리 2476-10번지 남영에듀클래스 A동 112호,1593
더하오츠,20230907,제주 제주시 애월읍 유수암리 1206번지,1594
더헤이븐(The Haven),20200831,제주 제주시 연동 262-26번지 1동 2층,1595
더화원,20150617,제주 제주시 이호일동 307-1번지 1층,1596
더회전훠궈,20190315,제주 제주시 노형동 917-10번지 2층,1597
더회전훠궈,20231019,제주 제주시 노형동 917-10번지 2층,1598
더후라이팬제주이도점,20221011,제주 제주시 이도일동 1690-4번지 제주트리뷰아일랜트오피스텔 1층 101호,1599
덕(德) 제주담다,20200331,제주 제주시 외도일동 626-1번지 2층,1600
덕분이네 밥상 청춘분식,20210518,제주 제주시 구좌읍 김녕리 2540번지 1층 6호,1601
덕성식당,20110624,제주 서귀포시 안덕면 사계리 2130번지,1602
덕성원,20130702,제주 제주시 아라이동 3008-3번지,1603
덕성원본점,20061101,제주 서귀포시 서귀동 474번지,1604
덕성원중문점,20030527,제주 서귀포시 중문동 2446-1번지,1605
덕수궁,20101116,제주 서귀포시 안덕면 사계리 1014-1번지,1606
덕수아이흑돼지,20180621,제주 서귀포시 안덕면 덕수리 2213-1번지,1607
덕수영애네,20220317,제주 서귀포시 안덕면 덕수리 2144-3번지 1층,1608
덕승식당,20020504,제주 서귀포시 대정읍 하모리 770-3번지,1609
덕승식당 중문점,20180830,제주 서귀포시 중문동 2017번지 1층 102호 103호,1610
덕인당빵집,20070613,제주 제주시 조천읍 신촌리 1823번지,1611
덕인당빵집제주점,20160202,제주 제주시 오라이동 1203번지 1층,1612
덕천연수원,20210720,제주 제주시 구좌읍 덕천리 1287번지 (덕천연수원),1613
던스페이스,20211027,제주 제주시 용담삼동 2293-2번지,1614
던킨 제주신화월드점,20210728,제주 서귀포시 안덕면 서광리 산 24번지 지하1층 25호,1615
던킨도너츠 탑동점,20170510,제주 제주시 삼도이동 1261-13번지 1층,1616
던킨도너츠아라점,20121030,제주 제주시 아라일동 2333-2번지 1층,1617
던킨도너츠제주한화아쿠아,20200728,제주 서귀포시 성산읍 고성리 127-3번지 1층,1618
던킨제주삼화점,20140422,제주 제주시 도련일동 1938-5번지 제주아빌로스 102호 상가,1619
던킨제주시청점,20220929,제주 제주시 이도이동 1772-1번지,1620
던킨제주연동,20221222,제주 제주시 연동 1482-4번지 1층,1621
덤불,20230411,제주 제주시 연동 111-10번지 1층,1622
덤장,20060330,제주 서귀포시 색달동 2119번지,1623
데드맨스 케이,20230308,제주 제주시 애월읍 하귀2리 2594-1번지 3층,1624
데미안제주조수점,20160428,제주 제주시 한경면 조수리 1621번지 1층,1625
데스띠노,20140717,제주 제주시 아라일동 6117-1번지 2층,1626
데이빗 보이,20220520,제주 제주시 삼도일동 719-31번지 2층,1627
덴드리,20191023,제주 서귀포시 성산읍 삼달리 115-11번지 1층,1628
델루버,20230609,제주 서귀포시 하예동 452-2번지 1층,1629
델문도,20181226,제주 제주시 조천읍 함덕리 1008-1번지 1층,1630
델문도 로스터스,20190423,제주 제주시 도남동 61-4번지 1층,1631
델문도 인 김녕,20220620,제주 제주시 구좌읍 김녕리 462-15번지 1층,1632
델문도 제주도립미술관점,20200428,제주 제주시 연동 680-7번지,1633
도갈비,20190513,제주 제주시 노형동 759-7번지 프라임빌 1층 102호,1634
도그모루,20210908,제주 제주시 조천읍 대흘리 101-2번지 1층,1635
도근네횟집,20210303,제주 제주시 외도이동 301번지 1층,1636
도남돼지,20181206,제주 제주시 화북이동 2388-2번지 1층,1637
도남막창,20001127,제주 제주시 도남동 915-25번지,1638
도남시골낙지,20070807,제주 제주시 도남동 909-9번지,1639
도남앤횟집,20230320,제주 제주시 도남동 922-16번지 1층,1640
도남오거리도남점,20151113,제주 제주시 도남동 909번지,1641
도남오거리외도점,20060809,제주 제주시 외도일동 533-2번지,1642
도남오거리외도점,20231010,제주 제주시 외도일동 533-2번지,1643
도남운선횟센터,20001017,제주 제주시 도남동 907-9번지,1644
도남정,20220404,제주 제주시 도남동 918-3번지 1층,1645
도남해돈가,20120402,제주 제주시 도남동 907-10번지 황금해장국,1646
도남황금,20101015,제주 제주시 도남동 87번지,1647
도니장어,20180321,제주 서귀포시 대정읍 상모리 3165-2번지 1층,1648
도다모,20190624,제주 제주시 아라이동 3004-1번지 1층,1649
도담길,20230419,제주 제주시 도남동 910-17번지 도남동,1650
도담길,20231024,제주 제주시 도남동 910-17번지 도남동,1651
도담스,20210325,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 106호,1652
도담한식,20230207,제주 제주시 한림읍 한림리 1314-106번지,1653
도도라멘,20220630,제주 제주시 일도일동 1477-4번지 2층,1654
도도름,20220714,제주 제주시 연동 272-2번지 1층,1655
도도름한우와흑돈,20211022,제주 제주시 연동 272-2번지 3층,1656
도도리고기국수,20230413,제주 제주시 도두이동 413-1번지,1657
도도톳김밥,20210610,제주 제주시 구좌읍 세화리 1477-15번지,1658
도두264,20220706,제주 제주시 도두이동 1645번지 2층,1659
도두대경,20130108,제주 제주시 도두이동 1651-8번지,1660
도두반점 제주사수점,20191021,제주 제주시 도두이동 836-8번지 2층,1661
도두반점 호텔더본점,20180920,제주 서귀포시 색달동 2138번지 지하 1층 2호,1662
도두어부의밥상,20190514,제주 제주시 도두일동 2584-1번지,1663
도두예소담,20221111,제주 제주시 도두일동 2629-4번지,1664
도두포차,20160927,제주 제주시 도두일동 2538번지,1665
도두해녀의집,20140218,제주 제주시 도두일동 2587-4번지,1666
도두해수파크 구내매점,20150813,제주 제주시 도두일동 1729번지,1667
도두해수파크구내,20120111,제주 제주시 도두일동 1729번지,1668
도두횟집,19940822,제주 제주시 도두일동 2558-1번지,1669
도두후레쉬,20200826,제주 제주시 도두일동 2549-1번지,1670
도라지식당,20110708,제주 제주시 오라삼동 2112번지,1671
도란도넛,20210312,제주 제주시 외도일동 542-15번지 1층,1672
도란포차,20200922,제주 제주시 이도이동 1186-31번지 2층,1673
도란포차,20230704,제주 제주시 이도이동 1185-6번지 2층,1674
도랑도랑,20160715,제주 제주시 연동 302-14번지,1675
도렐,20170315,제주 서귀포시 성산읍 고성리 297-1번지 1층,1676
도련들,20210622,제주 제주시 도련일동 1612-2번지 2층,1677
도르도르,20190910,제주 서귀포시 서귀동 422-4번지 2층,1678
도르멍,20161206,제주 제주시 조천읍 선흘리 1269-1번지 1층,1679
도리,20110328,제주 제주시 도두일동 2446-1번지,1680
도리골토종닭,20001020,제주 제주시 조천읍 교래리 230-1번지 1층,1681
