AREA_NM,New_ADDR,Old_ADDR
"미악산 (턥오름, 쌀오름, 솔오름)",제주특별자치도 서귀포시 인정오름로 387-63,제주특별자치도 서귀포시 동홍동 산7-1
미요캔들,제주특별자치도 제주시 구남로4길 8-1,제주특별자치도 제주시 이도이동 2036-1
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010
민속자연사박물관,제주특별자치도 제주시 삼성로 40,제주특별자치도 제주시 일도이동 996-1
민속해안로,제주특별자치도 서귀포시 표선면 일주동로 6228,제주특별자치도 서귀포시 표선면 세화리 281-1
민오름(구좌읍),제주특별자치도 제주시 구좌읍 비자림로 1456,제주특별자치도 제주시 구좌읍 송당리 2438
민오름(봉개동),제주특별자치도 제주시 칠오름길 (봉개동),제주특별자치도 제주시 칠오름길 (봉개동)
민오름(오라동),제주특별자치도 제주시 오라2동 산 12,제주특별자치도 제주시 오라2동 산 12
민오름(조천읍),제주특별자치도 제주시 조천읍 선흘리 산 141,제주특별자치도 제주시 조천읍 선흘리 산 141
바구스서핑스쿨,제주특별자치도 제주시 테우해안로 143,제주특별자치도 제주시 이호일동 1788-6
바늘오름,제주특별자치도 제주시 조천읍 교래리 산 108,제주특별자치도 제주시 조천읍 교래리 산 108
바다다이브,제주특별자치도 서귀포시 동홍로12번길 5,제주특별자치도 서귀포시 서귀동 253-10
바람모루,제주특별자치도 서귀포시 서호동,제주특별자치도 서귀포시 서호동
바람불어좋은날 천연염색 공방,제주특별자치도 서귀포시 안덕면 사계로 68,제주특별자치도 서귀포시 안덕면 사계리 2982-1
바릇스파,제주특별자치도 제주시 한림읍 한림로 392 3층,제주특별자치도 제주시 한림읍 협재리 1607
바이나흐튼 크리스마스 박물관,제주특별자치도 서귀포시 안덕면 평화로 654,제주특별자치도 서귀포시 안덕면 서광리 456
박물관은 살아있다,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629
박성내,제주특별자치도 제주시 기자길 5,제주특별자치도 제주시 아라이동 1370-6
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25,제주특별자치도 서귀포시 안덕면 감산리 1010
반지마을 제주 1호점,제주특별자치도 제주시 월성로4길 17 3,제주특별자치도 제주시 용담이동 2761-1
발이오름,제주특별자치도 제주시 애월읍 어음리 산 1,제주특별자치도 제주시 애월읍 어음리 산 1
발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192,제주특별자치도 서귀포시 대정읍 상모리 626-1
밧돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-1,제주특별자치도 제주시 구좌읍 송당리 산 66-1
방림원,제주특별자치도 제주시 한경면 용금로 864,제주특별자치도 제주시 한경면 저지리 2120-91
방선문,제주특별자치도 제주시 종천길 39-1,제주특별자치도 제주시 오라이동 3322
방일리공원,제주특별자치도 제주시 정원로 50,제주특별자치도 제주시 노형동 3812-1
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,제주특별자치도 서귀포시 안덕면 상천리 427
배령연대,제주특별자치도 제주시 한림읍 금능리 1649,제주특별자치도 제주시 한림읍 금능리 1649
백년초농장박물관,제주특별자치도 서귀포시 태평로 200,제주특별자치도 서귀포시 호근동 310-3
백록담,제주특별자치도 서귀포시 토평동 산 15-1,제주특별자치도 서귀포시 토평동 산 15-1
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,제주특별자치도 서귀포시 표선면 성읍리 산 1
백제사,제주시 애월읍 광령남6길 54 백제사,제주특별자치도 제주시 애월읍 광령리 4121
백제사 템플스테이,제주시 애월읍 광령남6길 54 백제사,제주특별자치도 제주시 애월읍 광령리 4121
백조일손지묘(백조일손지지),제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리
밸런싱 요가,제주특별자치도 제주시 중앙로 492,제주특별자치도 제주시 아라일동 2338-4
뱅듸승마클럽,제주특별자치도 제주시 조천읍 번영로 1118-33,제주특별자치도 제주시 조천읍 와흘리 산18
범서프,제주특별자치도 제주시 선사로8길 11,제주특별자치도 제주시 삼양일동 1569-25
범섬,제주특별자치도 서귀포시 법환동,제주특별자치도 서귀포시 법환동
법정사,제주특별자치도 서귀포시 1100로 740-168,제주특별자치도 서귀포시 도순동 산1
법화사,제주특별자치도 서귀포시 하원북로 35번길 15-28,제주특별자치도 서귀포시 하원동 1071-1
법화사지,제주특별자치도 서귀포시 하원북로35번길 15-28,제주특별자치도 서귀포시 하원동 1071-1
법환포구,제주특별자치도 서귀포시 막숙포로37번길 2,제주특별자치도 서귀포시 법환동 287-3
베릿네오름,제주특별자치도 서귀포시 중문상로17번길 51,제주특별자치도 서귀포시 중문동 2273
벨리타,제주특별자치도 제주시 조천읍 중산간동로 1194,제주특별자치도 제주시 조천읍 선흘리 2861-4
별내린전망대,제주특별자치도 서귀포시 색달동 2938-1,제주특별자치도 서귀포시 색달동 2938-1
별도봉,제주특별자치도 제주시 선반로 (화북일동),제주 제주시 화북일동 4472
별도연대,제주특별자치도 제주시 화북1동 1537,제주특별자치도 제주시 화북1동 1537
별도포구,제주특별자치도 제주시 화북1동 4269-12,제주특별자치도 제주시 화북1동 4269-12
별방진,제주특별자치도 제주시 구좌읍 하도리 3354,제주특별자치도 제주시 구좌읍 하도리 3354
병악현무암지대,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리
보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,제주특별자치도 서귀포시 표선면 성읍리 3229-4
"보롬이(하논, 화구구)",제주특별자치도 서귀포시 하논로 (서홍동),제주 서귀포시 서홍동
보목포구,제주특별자치도 서귀포시 보목포로 46,제주특별자치도 서귀포시 보목동 566-3
보물섬하이킹,제주특별자치도 제주시 용문로14길 14,제주특별자치도 제주시 용담이동 2706-1
보통청춘기록실 청춘사진관,제주특별자치도 제주시 한림읍 귀덕11길 1,제주특별자치도 제주시 한림읍 귀덕리 1010-2
본초족욕,제주특별자치도 제주시 은수길 65,제주특별자치도 제주시 연동 1326
본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,제주특별자치도 서귀포시 안덕면 상천리 380
볼레낭길,제주특별자치도 서귀포시 안덕면 감산리 1049,제주특별자치도 서귀포시 안덕면 감산리 1049
봉구의간식,제주특별자치도 제주시 애월읍 애월로 110,제주특별자치도 제주시 애월읍 애월리 1576-1
봉글레산,제주특별자치도 제주시 추자면 대서5길 1,제주특별자치도 제주시 추자면 대서리 167
봉쥬르봉봉,제주특별자치도 제주시 한림읍 한림로 408-2,제주특별자치도 제주시 한림읍 협재리 1587
부대악오름,제주특별자치도 제주시 조천읍 선흘리 산 103,제주특별자치도 제주시 조천읍 선흘리 산 103
부영컨트리클럽,제주특별자치도 서귀포시 남원읍 남조로 960 부영CC,제주특별자치도 서귀포시 남원읍 수망리 628-8
북오름,제주특별자치도 서귀포시 안덕면 동광리 산 94,제주특별자치도 서귀포시 안덕면 동광리 산 94
북촌국민학교,제주특별자치도 제주시 조천읍 일주동로 1481,제주특별자치도 제주시 조천읍 북촌리 1212
북촌돌하르방미술관,제주특별자치도 제주시 조천읍 북촌서1길 70,제주특별자치도 제주시 조천읍 북촌리 976
북촌리 4.3길,제주특별자치도 제주시 조천읍 북촌3길 3,제주특별자치도 제주시 조천읍 북촌리 1599
북촌포구,제주특별자치도 제주시 조천읍 북촌9길 26-1,제주특별자치도 제주시 조천읍 북촌리 588
북촌환해장성,제주특별자치도 제주시 조천읍 북촌리,제주특별자치도 제주시 조천읍 북촌리
불카분낭 (불타버린 나무),제주특별자치도 제주시 조천읍 선흘리 1136-2,제주특별자치도 제주시 조천읍 선흘리 1136-2
불탑사 (5층석탑),제주특별자치도 제주시 원당로16길 41,제주특별자치도 제주시 삼양일동 697
붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산158
붉은오름(성산읍),제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주특별자치도 서귀포시 성산읍 고성리 57
붉은오름(표선면),제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산158
뷰 제주하늘,제주특별자치도 서귀포시 성산읍 서성일로 397,제주특별자치도 서귀포시 성산읍 난산리 2815
브레이브독스,제주특별자치도 제주시 한림읍 한수풀로 138,제주특별자치도 제주시 한림읍 대림리 428-13
브리더스파크,제주특별자치도 제주시 구좌읍 금백조로 902-102,제주특별자치도 제주시 구좌읍 송당리 2463
브릭캠퍼스,제주특별자치도 제주시 1100로 3047,제주특별자치도 제주시 노형동 244-1
블루버블,제주특별자치도 서귀포시 성산읍 일출로255번길 11,제주특별자치도 서귀포시 성산읍 성산리 175-3
비고르서프,제주특별자치도 서귀포시 안덕면 형제해안로 70,제주특별자치도 서귀포시 안덕면 사계리 2294-20
비블리아성서식물원,제주특별자치도 제주시 한림읍 조성로 17,제주특별자치도 제주시 한림읍 상명리 1191-5
비양도,제주특별자치도 제주시 한림읍 협재리,제주특별자치도 제주시 한림읍 협재리
비양도 연평리 야영지,제주특별자치도 제주시 우도면 연평리 3,제주특별자치도 제주시 우도면 연평리 3
비양도등대,제주특별자치도 제주시 한림읍 비양도길 84비양도,제주특별자치도 제주시 한림읍 협재리 2932-2
비양도의 비양나무자생지,제주특별자치도 제주시 한림읍 협재리 산 89,제주특별자치도 제주시 한림읍 협재리 산 89
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,제주특별자치도 제주시 구좌읍 평대리 3161-1
비자림농원,제주특별자치도 제주시 조천읍 선흘동1길 31-71,제주특별자치도 제주시 조천읍 선흘리 2740
비체올린,제주특별자치도 제주시 한경면 판조로 253-6,제주특별자치도 제주시 한경면 판포리 725-1
비치미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,제주특별자치도 제주시 구좌읍 송당리 산 255-1
빌레못동굴,제주특별자치도 제주시 애월읍 어음리 1391,제주특별자치도 제주시 애월읍 어음리 1391
빛의 벙커,제주특별자치도 서귀포시 성산읍 고성리  2039-22,제주특별자치도 서귀포시 성산읍 고성리  2039-22
빠우사,제주특별자치도 제주시 조천읍 선교로 539,제주특별자치도 제주시 조천읍 선흘리 472-5
뽀로로&타요 테마파크 제주,제주특별자치도 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리 79
쁘램 요가,제주특별자치도 제주시 연북로 88,제주특별자치도 제주시 연동 1372-3
삐삐그루밍,제주특별자치도 서귀포시 대정읍 중산간서로 2269,제주특별자치도 서귀포시 대정읍 구억리 835-1
사계 용머리해안 (해산물),제주특별자치도 서귀포시 안덕면 사계남로216번길 28,제주특별자치도 서귀포시 안덕면 사계리 118-3
사계항,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,제주특별자치도 서귀포시 안덕면 사계리 2147-35
사계해안도로,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리
사라봉,제주특별자치도 제주시 사라봉동길 61,제주특별자치도 제주시 건입동 388
사라봉공원,제주특별자치도 제주시 사라봉동길 74 (건입동),제주특별자치도 제주시 건입동 387-1
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,제주특별자치도 서귀포시 남원읍 신례리 산 2-1
사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,제주특별자치도 제주시 조천읍 교래리 산 137-1
사려니오름,제주특별자치도 서귀포시 남원읍 516로 1648-87,제주특별자치도 서귀포시 남원읍 한남리 산2-1
사슴공방,제주특별자치도 제주시 구좌읍 구좌로 51 3층,제주특별자치도 제주시 구좌읍 세화리 1465-15
사진놀이터,제주특별자치도 제주시 애월읍 평화로 2835,제주특별자치도 제주시 애월읍 광령리 100-3
삭제요청 2,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1
삭제요청 3,제주특별자치도 제주시 애월읍 어음13길 196,제주특별자치도 제주시 애월읍 어음리 49
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,제주특별자치도 제주시 조천읍 교래리 342-2
산도스카발리오홀스파크,제주특별자치도 서귀포시 안덕면 산록남로 566,제주특별자치도 서귀포시 안덕면 광평리 268
산방굴사,제주특별자치도 서귀포시 안덕면 사계리 산 16,제주특별자치도 서귀포시 안덕면 사계리 산 16
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,제주특별자치도 서귀포시 안덕면 사계리 산 16
산방산 랜드,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,제주특별자치도 서귀포시 안덕면 사계리 116-6
산방산 수국,제주특별자치도 서귀포시 안덕면 산방로,제주특별자치도 서귀포시 안덕면 사계리 산 16
산방산 용머리해안 지질트레일,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리 981
산방산둘레길,제주 서귀포시 안덕면 감산리,제주 서귀포시 안덕면 감산리
산방산탄산온천,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,제주특별자치도 서귀포시 안덕면 사계리 981
산양곶자왈,제주특별자치도제주시 한경면 청수리 956-6,명제주특별자치도 제주시 한경면 연명로 179
산지등대,제주특별자치도 제주시 사라봉동길 108-1 (건입동),제주특별자치도 제주시 건입동 340-2
산지천,제주특별자치도 제주시 건입동,제주특별자치도 제주시 건입동
산지천갤러리,제주특별자치도 제주시 중앙로3길 36,제주특별자치도 제주시 일도일동 1247
산지항 옛터,제주특별자치도 제주시 연무정길 28 (건입동)일대,제주특별자치도 제주시 건입동 940-3
산천단,제주특별자치도 제주시 아라1동 392-3,명제주특별자치도 제주시 516로 3041-29
산천단곰솔,제주특별자치도 제주시 516로 3041-24,제주특별자치도 제주시 아라일동 375-1
산호레저,제주특별자치도 제주시 우도면 우도해안길 73,제주특별자치도 제주시 우도면 연평리 1737-14
삼각봉,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 산220-13
삼다수목장,제주특별자치도 제주시 조천읍 비자림로 485-15,제주특별자치도 제주시 조천읍 교래리 산119-1
삼다수숲길 지질트레일,제주특별자치도 제주시 조천읍 교래3길 98,제주특별자치도 제주시 조천읍 교래리 606-1
삼매봉,제주특별자치도 서귀포시 남성로115번길 83,제주특별자치도 서귀포시 서홍동 819
삼밭구석 & 동광리4·3희생자위령비,제주특별자치도 서귀포시 안덕면 동광리 1425 일대,제주특별자치도 서귀포시 안덕면 동광리 1425 일대
삼사석,제주특별자치도 제주시 화북1동 1380-1,제주특별자치도 제주시 화북1동 1380-1
삼성혈,제주특별자치도 제주시 삼성로 22,제주특별자치도 제주시 이도일동 1313
삼양 셋다리물,제주특별자치도 제주시 삼양1동 1938-9,제주특별자치도 제주시 삼양1동 1938-9
삼양방파제,제주특별자치도 제주시 벌랑길,제주특별자치도 제주시 벌랑길
삼양해수욕장,제주특별자치도 제주시 삼양동,제주특별자치도 제주시 삼양동
삼양해안도로,제주특별자치도 제주시 삼양2동,제주특별자치도 제주시 삼양2동
삼의악트레킹코스,제주특별자치도 제주시 아라동 산 24-2,제주특별자치도 제주시 아라동 산 24-2
삼화포구,제주특별자치도 제주시 서흘1길 26,제주특별자치도 제주시 삼양일동 1775
상추자마을길,제주특별자치도 제주시 추자도 추자면,제주특별자치도 제주시 추자도 추자면
상추자포구,제주특별자치도 제주시 추자면 대서리,제주특별자치도 제주시 추자면 대서리
상추자항,제주특별자치도 제주시 추자면 추자로 39,제주특별자치도 제주시 추자면 대서리 147-5
상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동 산25
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,제주특별자치도 제주시 애월읍 봉성리 산 59-8
새별헤이요목장,제주도 제주시 애월읍 봉성리 4554-20,제주도 제주시 애월읍 봉성리 4554-20
새섬,제주특별자치도 서귀포시 남성중로 40,제주특별자치도 서귀포시 서홍동 707-5
새시물,제주특별자치도 제주시 한림읍 상한로,제주특별자치도 제주시 한림읍 상명리
새연교,제주특별자치도 서귀포시 서홍동 707-4,제주특별자치도 서귀포시 서홍동 707-4
샘이오름,제주특별자치도 제주시 조천읍 516로,제주 제주시 구좌읍 송당리 산145
생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675,제주특별자치도 제주시 한경면 저지리 1534
생이기정,제주특별자치도 제주시 한경면 용수리 산 60,제주특별자치도 제주시 한경면 용수리 산 60
샤이니숲길,제주특별자치도 제주시 조천읍 교래리 719-10,제주특별자치도 제주시 조천읍 교래리 719-10
서건도,제주특별자치도 서귀포시 강정동 산 1,제주특별자치도 서귀포시 강정동 산 1
서광리 곶자왈생태탐방로,제주특별자치도 서귀포시 안덕면 서광리 산6-1,제주특별자치도 서귀포시 안덕면 서광리 산6-1
서광승마장,제주특별자치도 서귀포시 안덕면 녹차분재로 239,제주특별자치도 서귀포시 안덕면 서광리 산50-33
서귀다원,제주특별자치도 서귀포시 상효동 산 118,제주특별자치도 서귀포시 상효동 산 118
서귀본향당,제주특별자치도 서귀포시 이중섭로 23-11,제주특별자치도 서귀포시 서귀동 534-2
서귀포 궁도장(천지정),제주특별자치도 서귀포시 중산간서로 97-40,제주특별자치도 서귀포시 강정동 1475
서귀포 다이브센터,제주특별자치도 서귀포시 남원읍 하례망장포로 65-13 2층,제주특별자치도 서귀포시 남원읍 하례리 64-10
서귀포 하영올레,제주특별자치도 서귀포시 중앙로 105,제주특별자치도 서귀포시 서홍동 440-1
서귀포농업기술센터 제주농업생태원,제주특별자치도 서귀포시 남원읍 중산간동로 7413,제주특별자치도 서귀포시 남원읍 하례리 1558
서귀포시립기당미술관,제주특별자치도 서귀포시 남성중로153번길 15,제주특별자치도 서귀포시 서홍동 621
서귀포예술의전당,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1
서귀포의료원,제주특별자치도 서귀포시 장수로 47,제주특별자치도 서귀포시 동홍동 1530-2
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882,제주특별자치도 서귀포시 대포동 산1-8
서귀포잠수함(대국해저관광),"제주특별자치도 서귀포시 남성중로 40 (서홍동, 유람선매표소) 서귀포잠수함",제주특별자치도 서귀포시 서홍동 707-5
서귀포천문과학문화관,제주특별자치도 서귀포시 1100로 506-1,제주특별자치도 서귀포시 하원동 산70
서귀포층패류화석산지,제주특별자치도 서귀포시 남성중로 43,제주특별자치도 서귀포시 서홍동 707
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271,제주특별자치도 서귀포시 호근동 산1
서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9,제주특별자치도 서귀포시 서홍동 576-9
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14,제주특별자치도 서귀포시 서귀동 758-4
서귀포해안,제주특별자치도 서귀포시 서호동,제주특별자치도 서귀포시 서호동
서복전시관,제주특별자치도 서귀포시 칠십리로 156-8,제주특별자치도 서귀포시 서귀동 100-2
서부두명품횟집거리,제주특별자치도 제주시 서부두길 16,제주특별자치도 제주시 건입동 1319-31
서영아리오름 / 용와이오름,제주특별자치도 서귀포시 안덕면 상천리 산22,제주특별자치도 서귀포시 안덕면 상천리 산22
서우봉,제주특별자치도 제주시 조천읍 함덕리 169-1,제주특별자치도 제주시 조천읍 함덕리 169-1
서중천탐방로,제주특별자치도 서귀포시 남원읍 서성로 755,제주특별자치도 서귀포시 남원읍 한남리 1622-3
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243,제주특별자치도 제주시 조천읍 와흘리 2988
서프론트,제주특별자치도 제주시 애월읍 곽지5길 21,제주특별자치도 제주시 애월읍 곽지리 1613
서프앤조이,제주특별자치도 제주시 선사로8길 12,제주특별자치도 제주시 삼양일동 1657-3
선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,제주특별자치도 제주시 조천읍 선흘리 1997
선운정사,제주특별자치도 제주시 애월읍 구몰동길 65,제주특별자치도 제주시 애월읍 봉성리 3608
선족이오름(알선족이),제주특별자치도 제주시 구좌읍 송당리 산 140-2,제주특별자치도 제주시 구좌읍 송당리 산 140-2
선흘1리,제주특별자치도 제주시 조천읍 중산간동로 1280,제주특별자치도 제주시 조천읍 선흘리 1207-2
설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리
섬생이,제주특별자치도 제주시 추자면 신양리 산 87,제주특별자치도 제주시 추자면 신양리 산 87
섬속의섬우도렌트,제주특별자치도 제주시 우도면 우도해안길 84-2,제주특별자치도 제주시 우도면 연평리 1749
섭지코지,제주 서귀포시 성산읍 고성리,제주 서귀포시 성산읍 고성리
섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618,제주특별자치도 서귀포시 대정읍 상모리 1618
성김대건신부표착기념관,제주특별자치도 제주시 한경면 용수1길 108,제주특별자치도 제주시 한경면 용수리 4266
성널오름 (성판악),제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
성불오름,제주 제주시 구좌읍 중산간동로 2532,제주특별자치도 제주시 구좌읍 송당리 산226
성산 유채꽃재배단지,제주특별자치도 서귀포시 성산읍 일출로,제주 서귀포시 성산읍 고성리 270
성산~세화 해안도로,제주특별자치도 서귀포시 성산읍 해맞이해안로 2636,제주특별자치도 서귀포시 성산읍 시흥리 3
성산오조리해안,제주특별자치도 거쉬포시 성산읍 한도로,제주특별자치도 서귀포시 성산읍 오조리 10
성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 114
성산초등학교 서청특별중대 주둔지,제주특별자치도 서귀포시 성산면 성산리 171-9,제주특별자치도 서귀포시 성산면 성산리 171-9
성산포항,서귀포시 성산읍 성산등용로 130-21,제주특별자치도 서귀포시 성산읍 성산리 347-9
성산항,제주특별자치도 서귀포시 성산읍 성산등용로 129-21,제주특별자치도 서귀포시 성산읍 성산리 347-9
성읍녹차마을,제주특별자치도 서귀포시 표선면 중산간동로 4778,제주특별자치도 서귀포시 표선면 성읍리 2197-1
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,제주특별자치도 서귀포시 표선면 성읍리 2045-1
성읍목장,제주특별자치도 서귀포시 표선면 성읍리 1734,제주특별자치도 서귀포시 표선면 성읍리 1734
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,제주특별자치도 서귀포시 표선면 성읍리 775-1
성읍승마장,제주특별자치도 서귀포시 표선면 번영로 2650,제주특별자치도 서귀포시 표선면 성읍리 2045-1
성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,제주특별자치도 제주시 한림읍 금악리 116
성클라라수도원 금악성당,제주시 한림읍 금악북로 320,제주특별자치도 제주시 한림읍 금악리 373
섶섬(서귀포해양도립공원),제주특별자치도 서귀포시 마소물로,제주특별자치도 서귀포시 서홍동 707
세계술박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431,제주특별자치도 서귀포시 표선면 하천리 1814-1
세계자동차 & 피아노박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610,제주특별자치도 서귀포시 안덕면 상창리 2065-4
세계조가비박물관,제주특별자치도 서귀포시 태평로 284,제주특별자치도 서귀포시 서홍동 557-1
세리월드 테마파크,제주특별자치도 서귀포시 법환상로2번길 97-13,제주특별자치도 서귀포시 법환동 877
세미오름(삼의양오름),제주특별자치도 제주시 아라동 산 24-2,제주특별자치도 제주시 아라동 산 24-2
세미오름(샘이오름),제주특별자치도 제주시 조천읍 대흘리 산 27-8,제주특별자치도 제주시 조천읍 대흘리 산 27-8
세인트포골프장,제주특별자치도 제주시 구좌읍 선유로 445-55,제주특별자치도 제주시 구좌읍 김녕리 5160-2
세화소품관,제주특별자치도 제주시 구좌읍 해맞이해안로 1422-3,제주특별자치도 제주시 구좌읍 세화리 1500-6
세화항,제주특별자치도 제주시 구좌읍 세화리,제주특별자치도 제주시 구좌읍 세화리
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,제주특별자치도 제주시 구좌읍 세화리 1-1
세화해안도로,제주특별자치도 제주시 구좌읍 구좌로,제주특별자치도 제주시 구좌읍 평대리
소남머리,제주특별자치도 서귀포시 칠십리로 145,제주특별자치도 서귀포시 서귀동 70
소라의성,제주특별자치도 서귀포시 칠십리로214번길 17-17,제주특별자치도 서귀포시 동홍동 234-8
소병악 (족은오름),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,제주특별자치도 서귀포시 안덕면 상창리 산 2-1
소수산봉(족은물뫼),제주특별자치도 서귀포시 성산읍 고성리 887,제주특별자치도 서귀포시 성산읍 고성리 887
소암현중화기념관,제주특별자치도 서귀포시 소암로 15,제주특별자치도 서귀포시 서귀동 157-1 소암현중화기념관
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,제주특별자치도 서귀포시 안덕면 서광리 725
소정방폭포,제주특별자치도 서귀포시 칠십리로214번길 17-17,제주특별자치도 서귀포시 동홍동 234-8
소천지,제주특별자치도 서귀포시 칠십리로485번길 2,제주특별자치도 서귀포시 보목동 1637-17
손방둥이,제주특별자치도 제주시 진군남2길 10-4 101호 손방둥이,제주특별자치도 제주시 노형동 1553
손지오름,제주특별자치도 제주시 구좌읍 종달리 산 52,제주특별자치도 제주시 구좌읍 종달리 산 52
솔담한방병원,제주특별자치도 제주시 1100로 3055,제주특별자치도 제주시 노형동 241-1
솔동산8경,제주특별자치도 서귀포시 서귀동 솔동산로,제주특별자치도 서귀포시 서귀동
송계순집터,제주특별자치도 서귀포시 대정읍 안성리 1681-1,제주특별자치도 서귀포시 대정읍 안성리 1681-1
송당리,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 1366
송당본향당,제주특별자치도 제주시 구좌읍 송당리,제주특별자치도 제주시 구좌읍 송당리
송당승마장,제주특별자치도 제주시 구좌읍 번영로 2015,제주특별자치도 제주시 구좌읍 송당리 2573-2
송령이골,제주특별자치도 서귀포시 남원읍 한신로143번길 99,제주특별자치도 서귀포시 남원읍 의귀리 1975
송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,제주특별자치도 서귀포시 대정읍 상모리 131
송악산 진지동굴,제주특별자치도 서귀포시 대정읍 상모리,제주특별자치도 서귀포시 대정읍 상모리
송악산둘레길,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,제주특별자치도 서귀포시 대정읍 상모리 131
송악카트체험장,제주특별자치도 서귀포시 대정읍 송악관광로 404,제주특별자치도 서귀포시 대정읍 상모리 139
송악힐링풋스킨,제주특별자치도 서귀포시 대정읍 송악관광로 399,제주특별자치도 서귀포시 대정읍 상모리 141
송죽사터,제주특별자치도 서귀포시 대정읍 안성리,제주특별자치도 서귀포시 대정읍 안성리
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,제주특별자치도 서귀포시 하효동 995
쇠소깍제트,제주특별자치도 서귀포시 쇠소깍로 151-8 (하효동),제주특별자치도 서귀포시 하효동 999
쇠소깍해변,제주특별자치도 서귀포시 하효동,제주특별자치도 서귀포시 하효동
쇠와꽃 승마장,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,제주특별자치도 서귀포시 성산읍 고성리 354-1
수목원테마공원(야시장길&LED공원),제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동 1320
수목원테마파크,제주특별자치도 제주시 은수길 69 (연동),제주특별자치도 제주시 연동 1320
수산저수지,제주특별자치도 제주시 애월읍 수산리 1,제주특별자치도 제주시 애월읍 수산리 1
수악 (물오름),제주특별자치도 서귀포시 남원읍 516로 1042,제주특별자치도 서귀포시 남원읍 하례리 산10
